name,calories,protein,carbs,fat,category
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,9.51,62.66,7.93,General
Sprouted moong daliya ,111.56,2.81,14.77,4.71,General
Sprouted moong poha ,192.6,5.59,26.6,6.89,General
Pearl millet ladoo (Bajra ladoo),319.66,9.61,50.98,8.06,General
Paushtik ladoo,485.87,7.65,60.34,24.98,General
Paushtik roti,149.26,7.17,26.59,1.51,General
Semolina carrot vada (Suji gajar vada),699.53,1.56,6.52,74.07,General
Dhokla,216.49,13.45,30.68,5.28,General
Kashmiri tea (Kehwa),24.9,0.17,5.23,0.51,General
Steeped hot coffee,15.91,0.39,3.01,0.33,General
